Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
45,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,0,1.000,0.000,0.000,0.000,0.000,0.000,0
46,1,0.031,0.969,0.000,0.000,0.000,0.000,0
46,2,0.001,0.073,0.926,0.000,0.000,0.000,0
46,3,0.000,0.001,0.096,0.903,0.000,0.000,0
46,4,0.000,0.000,0.013,0.102,0.885,0.000,0
46,5,0.000,0.000,0.000,0.000,0.056,0.944,0
46,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,0,0.386,0.393,0.171,0.043,0.005,0.001,0
47,1,0.047,0.450,0.372,0.114,0.017,0.001,0
47,2,0.004,0.108,0.514,0.304,0.064,0.005,0
47,3,0.003,0.019,0.177,0.536,0.235,0.030,0
47,4,0.000,0.000,0.036,0.257,0.621,0.086,0
47,5,0.000,0.000,0.000,0.118,0.529,0.353,0
47,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,0,0.931,0.069,0.000,0.000,0.000,0.000,0
48,1,0.025,0.913,0.060,0.001,0.000,0.000,0
48,2,0.001,0.042,0.927,0.030,0.001,0.000,0
48,3,0.000,0.001,0.073,0.897,0.029,0.000,0
48,4,0.000,0.000,0.003,0.096,0.886,0.016,0
48,5,0.000,0.000,0.000,0.000,0.043,0.957,0
48,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,0,0.973,0.027,0.000,0.000,0.000,0.000,0
49,1,0.013,0.966,0.021,0.000,0.000,0.000,0
49,2,0.000,0.015,0.969,0.015,0.000,0.000,0
49,3,0.000,0.000,0.029,0.959,0.011,0.000,0
49,4,0.000,0.000,0.000,0.033,0.962,0.005,0
49,5,0.000,0.000,0.000,0.000,0.020,0.980,0
49,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,0,0.577,0.319,0.095,0.009,0.000,0.000,0
50,1,0.051,0.636,0.267,0.042,0.003,0.000,0
50,2,0.005,0.105,0.665,0.198,0.026,0.001,0
50,3,0.001,0.013,0.166,0.667,0.138,0.014,0
50,4,0.000,0.000,0.019,0.265,0.620,0.096,0
50,5,0.000,0.000,0.000,0.058,0.365,0.577,0
50,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,0,0.982,0.018,0.000,0.000,0.000,0.000,0
51,1,0.041,0.940,0.019,0.000,0.000,0.000,0
51,2,0.003,0.067,0.912,0.017,0.000,0.000,0
51,3,0.000,0.006,0.111,0.867,0.017,0.000,0
51,4,0.000,0.000,0.005,0.133,0.851,0.011,0
51,5,0.000,0.000,0.000,0.012,0.207,0.780,0
51,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,0,1.000,0.000,0.000,0.000,0.000,0.000,0
52,1,0.059,0.941,0.000,0.000,0.000,0.000,0
52,2,0.002,0.101,0.897,0.000,0.000,0.000,0
52,3,0.000,0.013,0.148,0.839,0.000,0.000,0
52,4,0.000,0.000,0.015,0.194,0.792,0.000,0
52,5,0.000,0.000,0.000,0.014,0.203,0.783,0
52,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,0,0.379,0.435,0.149,0.035,0.002,0.000,0
53,1,0.036,0.504,0.352,0.099,0.009,0.000,0
53,2,0.001,0.071,0.551,0.322,0.055,0.001,0
53,3,0.000,0.007,0.114,0.613,0.236,0.031,0
53,4,0.000,0.000,0.021,0.208,0.651,0.120,0
53,5,0.000,0.000,0.000,0.037,0.241,0.722,0
53,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,0,0.951,0.045,0.004,0.000,0.000,0.000,0
54,1,0.025,0.927,0.046,0.002,0.000,0.000,0
54,2,0.001,0.032,0.929,0.038,0.000,0.000,0
54,3,0.000,0.001,0.075,0.907,0.017,0.000,0
54,4,0.000,0.000,0.002,0.056,0.934,0.008,0
54,5,0.000,0.000,0.000,0.000,0.115,0.885,0
54,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,0,0.941,0.059,0.000,0.000,0.000,0.000,0
55,1,0.017,0.926,0.058,0.000,0.000,0.000,0
55,2,0.000,0.019,0.949,0.032,0.000,0.000,0
55,3,0.000,0.001,0.050,0.925,0.024,0.000,0
55,4,0.000,0.000,0.002,0.061,0.922,0.015,0
55,5,0.000,0.000,0.000,0.010,0.029,0.962,0
55,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,0,0.657,0.318,0.021,0.004,0.000,0.000,0
56,1,0.049,0.740,0.195,0.015,0.001,0.000,0
56,2,0.005,0.096,0.729,0.155,0.015,0.001,0
