Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
49,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,0,0.757,0.218,0.023,0.001,0.000,0.000,0
50,1,0.135,0.708,0.147,0.011,0.000,0.000,0
50,2,0.024,0.252,0.636,0.087,0.001,0.000,0
50,3,0.003,0.064,0.311,0.560,0.061,0.001,0
50,4,0.000,0.017,0.106,0.339,0.506,0.033,0
50,5,0.000,0.000,0.000,0.143,0.357,0.500,0
50,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,0,0.931,0.065,0.002,0.001,0.000,0.000,0
51,1,0.090,0.854,0.054,0.001,0.000,0.000,0
51,2,0.012,0.158,0.787,0.043,0.000,0.000,0
51,3,0.002,0.021,0.212,0.742,0.024,0.000,0
51,4,0.000,0.000,0.035,0.232,0.704,0.028,0
51,5,0.000,0.000,0.000,0.000,0.286,0.714,0
51,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,0,0.915,0.084,0.001,0.000,0.000,0.000,0
52,1,0.047,0.881,0.070,0.002,0.000,0.000,0
52,2,0.001,0.091,0.854,0.053,0.001,0.000,0
52,3,0.000,0.004,0.120,0.830,0.046,0.000,0
52,4,0.000,0.000,0.025,0.143,0.832,0.000,0
52,5,0.000,0.000,0.000,0.000,0.071,0.929,0
52,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,0,0.677,0.271,0.047,0.004,0.001,0.000,0
53,1,0.053,0.707,0.214,0.025,0.001,0.000,0
53,2,0.003,0.105,0.718,0.158,0.016,0.000,0
53,3,0.000,0.011,0.175,0.707,0.101,0.007,0
53,4,0.000,0.000,0.024,0.220,0.717,0.039,0
53,5,0.000,0.000,0.000,0.000,0.077,0.923,0
53,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,0,0.947,0.053,0.000,0.000,0.000,0.000,0
54,1,0.035,0.926,0.038,0.001,0.000,0.000,0
54,2,0.001,0.075,0.888,0.035,0.000,0.000,0
54,3,0.000,0.001,0.087,0.894,0.018,0.000,0
54,4,0.000,0.000,0.000,0.149,0.839,0.011,0
54,5,0.000,0.000,0.000,0.000,0.190,0.810,0
54,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,0,1.000,0.000,0.000,0.000,0.000,0.000,0
55,1,0.026,0.974,0.000,0.000,0.000,0.000,0
55,2,0.001,0.041,0.958,0.000,0.000,0.000,0
55,3,0.000,0.000,0.073,0.927,0.000,0.000,0
55,4,0.000,0.000,0.000,0.086,0.914,0.000,0
55,5,0.000,0.000,0.000,0.000,0.211,0.789,0
55,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,0,0.830,0.155,0.014,0.001,0.000,0.000,0
56,1,0.071,0.813,0.111,0.005,0.001,0.000,0
56,2,0.003,0.140,0.761,0.093,0.003,0.001,0
56,3,0.000,0.022,0.187,0.742,0.049,0.000,0
56,4,0.000,0.000,0.013,0.242,0.693,0.052,0
56,5,0.000,0.000,0.000,0.067,0.400,0.533,0
56,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,0,0.963,0.036,0.001,0.000,0.000,0.000,0
57,1,0.052,0.914,0.033,0.001,0.000,0.000,0
57,2,0.003,0.096,0.879,0.022,0.000,0.000,0
57,3,0.000,0.007,0.146,0.829,0.017,0.000,0
57,4,0.000,0.000,0.013,0.193,0.787,0.007,0
57,5,0.000,0.000,0.000,0.000,0.294,0.706,0
57,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,0,1.000,0.000,0.000,0.000,0.000,0.000,0
58,1,0.019,0.981,0.000,0.000,0.000,0.000,0
58,2,0.000,0.035,0.965,0.000,0.000,0.000,0
58,3,0.000,0.002,0.055,0.943,0.000,0.000,0
58,4,0.000,0.000,0.000,0.052,0.948,0.000,0
58,5,0.000,0.000,0.000,0.000,0.000,1.000,0
58,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,0,0.795,0.190,0.015,0.000,0.000,0.000,0
59,1,0.084,0.760,0.147,0.010,0.000,0.000,0
59,2,0.008,0.151,0.728,0.108,0.005,0.000,0
59,3,0.002,0.028,0.243,0.672,0.053,0.003,0
59,4,0.000,0.000,0.047,0.250,0.703,0.000,0
59,5,0.000,0.000,0.000,0.154,0.385,0.462,0
59,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,0,0.945,0.054,0.001,0.000,0.000,0.000,0
60,1,0.029,0.940,0.030,0.002,0.000,0.000,0
60,2,0.001,0.057,0.919,0.023,0.000,0.000,0
60,3,0.000,0.002,0.079,0.901,0.018,0.000,0
60,4,0.000,0.000,0.015,0.104,0.873,0.007,0
60,5,0.000,0.000,0.000,0.000,0.250,0.750,0
60,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,0,0.964,0.036,0.000,0.000,0.000,0.000,0
61,1,0.000,0.973,0.027,0.000,0.000,0.000,0
61,2,0.000,0.000,0.980,0.020,0.000,0.000,0
61,3,0.000,0.000,0.000,0.987,0.013,0.000,0
61,4,0.000,0.000,0.000,0.000,0.992,0.008,0
61,5,0.000,0.000,0.000,0.000,0.000,1.000,0
61,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,0,0.932,0.067,0.001,0.000,0.000,0.000,0
62,1,0.037,0.916,0.046,0.001,0.000,0.000,0
62,2,0.000,0.094,0.871,0.036,0.000,0.000,0
62,3,0.000,0.005,0.145,0.812,0.038,0.000,0
62,4,0.000,0.000,0.015,0.190,0.781,0.015,0
62,5,0.000,0.000,0.000,0.000,0.250,0.750,0
62,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,0,0.963,0.037,0.000,0.000,0.000,0.000,0
63,1,0.020,0.954,0.026,0.000,0.000,0.000,0
63,2,0.001,0.049,0.929,0.021,0.000,0.000,0
63,3,0.000,0.003,0.057,0.927,0.012,0.000,0
63,4,0.000,0.000,0.008,0.075,0.917,0.000,0
63,5,0.000,0.000,0.000,0.000,0.125,0.875,0
63,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,0,0.977,0.022,0.001,0.000,0.000,0.000,0
64,1,0.009,0.964,0.026,0.001,0.000,0.000,0
64,2,0.000,0.024,0.948,0.027,0.001,0.000,0
