Reading ../../NN/NN_model/ALC-Inputs-V2.csv - Complete
Reading in the occupant start state XML - Complete
Loading the activity statistics - Complete
Starting the search at Tue Oct 27 11:31:53 2015
True Error 39.3188102897807, average of 2609.58118971022 kWh
True Error 152.000544561658, average of 2496.89945543834 kWh
True Error 0.366352555382491, average of 2648.53364744462 kWh
True Error 59.7864005807828, average of 2708.68640058078 kWh
True Error 33.4850117586911, average of 2682.38501175869 kWh
True Error 136.117959342885, average of 2512.78204065712 kWh
True Error 363.266572583763, average of 3012.16657258376 kWh
True Error 136.207131615827, average of 2785.10713161583 kWh
True Error 7.97906187645731, average of 2640.92093812354 kWh
True Error 84.8817851984923, average of 2564.01821480151 kWh
True Error 76.0414602205665, average of 2572.85853977943 kWh
True Error 22.3632960151681, average of 2671.26329601517 kWh
True Error 47.8739525196124, average of 2601.02604748039 kWh
True Error 51.7438720989417, average of 2700.64387209894 kWh
True Error 3.24364507905238, average of 2645.65635492095 kWh
True Error 87.93156312874, average of 2736.83156312874 kWh
Wed Oct 28 10:11:34 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.205615506896379
True Error 187.632948302688, average of 2461.26705169731 kWh
True Error 60.8947126063122, average of 2588.00528739369 kWh
True Error 106.759030631263, average of 2542.14096936874 kWh
True Error 325.021885752898, average of 2973.9218857529 kWh
True Error 54.7468992083536, average of 2594.15310079165 kWh
True Error 13.9417359645031, average of 2634.9582640355 kWh
True Error 2.05090845464974, average of 2646.84909154535 kWh
True Error 146.337840704105, average of 2502.5621592959 kWh
True Error 3.58455827425905, average of 2652.48455827426 kWh
True Error 23.8735962649421, average of 2672.77359626494 kWh
True Error 127.54878729139, average of 2521.35121270861 kWh
True Error 51.3794454679255, average of 2700.27944546793 kWh
True Error 18.727223621318, average of 2667.62722362132 kWh
True Error 86.1341729701808, average of 2562.76582702982 kWh
True Error 84.3863423603625, average of 2733.28634236036 kWh
True Error 57.6020026057495, average of 2706.50200260575 kWh
Wed Oct 28 11:52:51 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.127076551727167
True Error 144.794729950272, average of 2504.10527004973 kWh
True Error 9.78506130491996, average of 2658.68506130492 kWh
True Error 50.024632211584, average of 2698.92463221158 kWh
True Error 35.8671059076514, average of 2613.03289409235 kWh
True Error 83.352888407413, average of 2732.25288840741 kWh
True Error 45.4423220229719, average of 2694.34232202297 kWh
True Error 126.070829475707, average of 2522.82917052429 kWh
